AgeCurrent,SchoolLocation,SchoolYear,SchoolYearTEXT,SchoolFinish,IdentityEthnicity,IdentityRace,IdentityReligion,IdentityDisability,IdentityNeuro,IdentitySexuality,IdentitySexualityTEXT,IdentityGender,IdentityGenderTEXT,IdentitySex,IdentitySexTEXT,HSS1Q1,HSS1Q2,HSS2Q1,HSS2Q2,HSS3Q1,HSS3Q2,HSS4Q1,HSS4Q2,HSS5Q1,HSS5Q2,HSS6Q1,HSS6Q2,HSS7Q1,HSS7Q2,HSS8Q1,HSS8Q2,HSS9Q1,HSS9Q2,HSS10Q1,HSS10Q2,HSS11Q1,HSS11Q2,HSS12Q1,HSS12Q2,HSS13Q1,HSS13Q2,HSS14Q1,HSS14Q2,RaceDemog,ReligionDemog,GenderGroup,SexualityGroup,HSS1,HSS2,HSS3,HSS4,HSS5,HSS6,HSS7,HSS8,HSS9,HSS10,HSS11,HSS12,HSS13,HSS14,SMA_RSS
22,1,2,NA,2,"10,12",6,7,6,3,6,NA,"1,3,5",NA,2,NA,4,2,2,2,3,4,1,1,1,1,3,3,1,1,3,3,4,3,4,4,3,3,1,1,3,2,2,2,6,3,5,2,8,4,12,1,1,9,1,9,12,16,9,1,6,4,6.642857143
17,2,1,12,NA,7,4,8,5,2,"4,6,8,9",NA,2,NA,2,NA,3,2,5,3,6,4,5,3,3,2,2,1,4,1,1,1,6,6,6,6,6,6,6,6,4,2,6,6,4,2,2,2,6,15,24,15,6,2,4,1,36,36,36,36,8,36,18.64285714
19,1,2,NA,1,10,6,7,6,1,"1,2,3",NA,3,NA,2,NA,3,1,2,2,3,3,2,2,2,1,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,4,4,6,3,3,1,3,4,9,4,2,6,4,9,9,9,6,4,9,16,6.714285714
17,1,1,12,NA,6,2,8,5,2,"4,6,7",NA,2,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,5,5,1,1,6,4,5,5,2,2,2,2,1,1,1,1,1,1,1,1,36,30,25,1,24,25,10.64285714
16,3,1,11,NA,12,6,8,5,1,7,NA,"2,3",NA,2,NA,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,4,4,3,3,4,4,3,2,2,2,4,4,6,2,3,4,4,1,4,4,1,4,1,4,16,9,16,6,4,16,6.428571429
18,2,2,NA,1,6,2,8,5,2,1,NA,2,NA,2,NA,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,5,6,5,6,6,6,6,6,3,3,4,4,2,2,2,1,2,4,1,1,1,4,1,1,30,30,36,36,9,16,12.28571429
23,2,2,NA,3,"10,12",6,8,5,2,"6,7",NA,2,NA,2,NA,1,2,1,1,3,2,3,2,1,2,1,1,1,1,1,1,5,3,6,5,4,4,1,1,1,1,1,1,6,2,2,2,2,1,6,6,2,1,1,1,15,30,16,1,1,1,6
16,1,1,11,NA,"2,7",3,2,5,1,"4,6",NA,2,NA,2,NA,2,1,2,1,4,3,2,1,2,1,4,3,2,1,2,2,3,3,3,3,3,2,2,3,2,2,4,4,3,1,2,2,2,2,12,2,2,12,2,4,9,9,6,6,4,16,6.285714286
16,1,1,11,NA,"6,10","2,6",8,5,2,"4,6",NA,1,NA,1,NA,4,4,3,2,2,2,5,3,3,3,3,3,3,1,1,2,6,5,6,5,6,6,6,6,3,3,4,3,9,2,1,2,16,6,4,15,9,9,3,2,30,30,36,36,9,12,15.5
18,2,1,12,NA,"10,11,12",6,2,6,2,"1,2",NA,2,NA,2,NA,2,1,3,3,2,2,4,3,1,1,2,2,1,1,3,3,6,6,6,6,6,6,6,6,2,2,4,4,6,1,2,1,2,9,4,12,1,4,1,9,36,36,36,36,4,16,14.71428571
17,1,1,11,NA,17,8,8,5,2,8,NA,1,NA,1,NA,5,3,6,4,2,2,4,2,2,2,4,4,6,3,2,2,4,2,3,2,3,1,2,2,4,5,5,5,8,2,1,4,15,24,4,8,4,16,18,4,8,6,3,4,20,25,11.35714286
16,2,1,11,NA,10,6,8,5,1,"1,9",NA,"3,6",genderqueer,2,NA,3,2,3,2,4,3,4,3,3,2,3,2,2,2,4,3,5,2,5,2,5,3,3,2,2,2,6,4,6,2,3,3,6,6,12,12,6,6,4,12,10,10,15,6,4,24,9.5
21,2,2,NA,"2,6","10,12",6,8,4,2,10,NA,3,NA,2,NA,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,6,2,6,3,4,2,5,3,4,2,5,4,6,2,3,2,1,12,1,1,1,1,1,1,12,18,8,15,8,20,7.142857143
24,1,2,NA,6,10,6,8,5,2,7,NA,2,NA,2,NA,1,1,1,1,3,2,3,2,1,1,1,2,1,1,1,1,6,6,6,6,6,6,5,5,2,2,4,4,6,2,2,4,1,1,6,6,1,2,1,1,36,36,36,25,4,16,12.28571429
17,1,1,12,"4,6",10,6,8,5,1,10,NA,2,NA,2,NA,1,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,3,6,2,2,2,1,1,4,9,1,1,1,1,2,4,1,1,1,3,2.214285714
17,1,1,12,NA,10,6,8,5,2,9,NA,"2,5",NA,1,NA,1,1,6,1,1,1,1,1,4,1,2,3,1,1,4,2,6,4,6,6,6,3,1,1,1,1,1,1,6,2,4,3,1,6,1,1,4,6,1,8,24,36,18,1,1,1,7.785714286
16,1,1,10,NA,10,6,8,5,1,1,NA,4,NA,2,NA,4,3,6,5,5,6,5,6,2,4,1,1,3,4,4,2,5,4,5,4,3,4,5,5,5,5,5,5,6,2,3,1,12,30,30,30,8,1,12,8,20,20,12,25,25,25,18.42857143
17,1,1,12,NA,10,6,8,5,2,"2,7",NA,2,NA,2,NA,3,2,2,2,3,2,4,3,2,1,2,2,3,2,2,2,6,6,5,5,6,6,5,4,4,2,4,2,6,2,2,1,6,4,6,12,2,4,6,4,36,25,36,20,8,8,12.64285714
17,1,1,12,NA,6,2,8,5,2,"6,8",NA,1,NA,1,NA,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,3,3,3,3,4,4,2,2,2,1,2,3,2,2,1,2,1,1,1,4,1,1,2,1,9,9,16,4,2,6,4.142857143
18,1,2,NA,1,6,2,8,5,2,"2,7",NA,2,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,6,4,6,1,4,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,36,18,24,4,4,2,6.857142857
22,1,2,NA,1,10,6,8,5,2,9,NA,2,NA,2,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,6,4,6,4,1,1,1,1,1,1,6,2,2,3,1,1,1,2,1,1,1,1,12,24,24,1,1,1,5.142857143
16,3,1,11,NA,8,2,8,5,1,7,NA,"1,5",NA,2,NA,5,4,4,5,6,5,5,5,4,3,6,6,6,6,3,3,5,4,5,4,5,4,6,6,5,4,5,4,2,2,5,4,20,20,30,25,12,36,36,9,20,20,20,36,20,20,23.14285714
16,2,1,11,NA,10,6,8,5,2,10,NA,3,NA,2,NA,5,4,2,2,3,4,5,3,2,1,4,3,2,3,5,5,6,4,NA,3,5,4,5,5,1,1,3,2,6,2,3,2,20,4,12,15,2,12,6,25,24,NA,20,25,1,6,NA
16,2,1,11,NA,"10,11,12",6,8,5,1,10,NA,5,NA,2,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,3,6,6,6,3,6,4,6,4,6,6,6,6,6,6,6,2,5,2,9,9,9,9,9,9,3,36,18,24,24,36,36,36,19.07142857
19,1,2,NA,4,10,6,6,4,1,3,NA,"1,5",NA,2,NA,1,1,1,1,3,3,2,2,1,1,2,3,1,1,1,2,4,5,4,4,3,3,1,1,2,2,2,2,6,1,5,1,1,1,9,4,1,6,1,2,20,16,9,1,4,4,5.642857143
